,index,Results,GAME_DATE,HOME,AWAY,Odds1,Odds2,Score,prediction
290,9147,1.0,2017-04-01,CHI,ATL,1.45,2.89,106:104,0.6029841899871826
291,5394,1.0,2014-01-10,MEM,PHX,1.66,2.3,104:99,0.4763590693473816
292,6907,1.0,2015-03-14,WAS,SAC,1.17,5.3,113:97,0.7365219593048096
293,485,1.0,2009-01-30,ATL,BKN,1.29,3.64,105:88,0.6966953873634338
294,5690,0.0,2014-02-23,CLE,WAS,2.03,1.81,83:96,0.5049278140068054
295,1778,1.0,2010-03-05,DAL,SAC,1.22,4.46,108:100,0.8728294968605042
296,5045,0.0,2013-11-22,MEM,SAS,2.01,1.84,86:102,0.3580080270767212
297,8909,0.0,2017-03-01,MIL,DEN,1.55,2.58,98:110,0.6451398134231567
298,1598,0.0,2010-02-05,NOP,PHI,1.71,2.18,94:101,0.3790939748287201
299,4788,1.0,2013-03-18,PHI,POR,1.86,1.97,101:100,0.5242164134979248
300,9952,0.0,2018-02-22,SAC,OKC,4.01,1.27,107:110,0.40616321563720703
301,6157,0.0,2014-11-28,LAL,MIN,1.42,2.92,119:120,0.7072596549987793
302,10727,0.0,2019-01-04,PHX,LAC,2.63,1.51,111:121,0.5548964738845825
303,9650,0.0,2018-01-05,DAL,CHI,1.57,2.53,124:127,0.792560338973999
304,2737,1.0,2011-02-16,DAL,SAC,1.11,7.01,116:100,0.7660006284713745
305,6099,0.0,2014-10-29,NYK,CHI,2.64,1.52,80:104,0.7545520663261414
306,619,0.0,2009-02-20,MIN,IND,1.74,2.14,105:112,0.5428788065910339
